IDX,X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
574,9.312639,53.265138,1,70,0,0
575,8.606550,53.584274,1,50,0,0
576,8.598447,53.583610,1,50,0,0
577,8.592626,53.582009,1,50,0,0
578,13.164868,52.533343,1,50,0,0
579,13.164278,52.533353,1,50,0,0
580,13.189669,52.546580,1,50,0,0
581,13.189144,52.546704,1,50,0,0
582,9.981267,53.720586,1,50,0,0
583,10.028239,53.694103,1,50,0,0
584,10.567412,53.220924,1,70,0,0
585,11.777369,52.724195,1,50,0,0
586,13.746922,54.076087,1,0,0,0
587,13.467156,52.485163,1,0,0,0
588,13.819734,52.835015,1,50,1,350
589,9.206523,53.651628,1,0,0,0
590,13.847754,52.488408,1,70,1,70
591,13.847213,52.488306,1,70,1,250
592,13.504825,52.596365,1,50,0,0
593,12.348228,52.410637,1,50,0,0
594,9.903236,53.667344,1,50,1,180
595,9.661220,54.277920,1,70,0,0
596,13.293077,53.549021,1,50,1,0
597,12.842645,52.950335,1,30,1,160
598,10.465506,52.478699,1,70,0,0
599,13.492231,52.458087,1,50,0,0
600,10.521839,53.101932,1,50,1,170
601,10.523500,53.099171,1,50,1,170
602,12.943496,52.724308,1,0,0,0
603,13.230367,52.403210,1,50,1,80
604,10.025254,53.685817,1,30,0,0
605,13.010725,52.702600,1,0,1,25
606,13.501171,52.442020,1,30,0,0
607,10.159695,54.168686,1,70,1,100
608,8.661679,53.677526,1,70,0,0
609,8.661689,53.677650,1,70,0,0
610,9.326059,53.752548,1,0,0,0
611,13.393345,52.510822,1,30,0,0
612,8.823734,53.302626,1,0,0,0
613,13.212454,52.732056,1,120,0,0
614,12.211804,54.201679,1,50,1,20
615,12.212133,54.202678,1,50,1,200
616,13.318286,54.086375,1,50,0,0
617,10.753563,52.400824,1,0,1,61
618,13.466914,52.485349,1,50,0,0
619,10.798658,52.427304,1,50,1,20
620,8.675851,53.356125,1,70,1,0
621,10.753806,52.424797,1,60,1,85
622,13.368058,52.530720,1,30,1,130
623,13.368054,52.530724,1,30,1,305
624,9.519048,53.603534,1,50,0,0
625,9.519035,53.603576,1,50,0,0
626,9.835793,53.762421,1,30,0,0
627,12.146742,54.086708,1,0,0,0
628,11.174639,53.047563,1,50,0,0
629,10.270643,53.417947,1,50,0,0
630,9.789847,53.320223,1,30,0,0
631,12.531768,52.422878,1,0,0,0
632,9.670215,52.415615,2,50,0,0
633,9.670288,52.415702,2,50,0,0
634,11.436873,53.598178,2,50,0,0
635,11.456624,53.599915,2,50,0,0
636,10.534369,52.421899,2,70,0,0
637,10.281470,52.481312,2,70,0,0
638,13.315847,52.464559,2,30,0,0
639,12.951578,53.897757,2,50,0,0
640,9.537766,53.000172,2,70,0,0
641,10.632256,52.957282,2,100,0,0
642,10.631783,52.957247,2,100,0,0
643,10.726871,52.947858,2,50,0,0
644,9.801956,53.783594,2,50,0,0
645,9.737215,53.788114,2,50,0,0
646,9.691081,53.792632,2,50,0,0
647,10.953665,52.891483,2,50,0,0
648,13.244041,54.081350,2,70,0,0
649,9.960230,53.469936,2,50,0,0
650,9.326166,53.752329,2,50,0,0
651,10.750483,52.936587,2,50,0,0
652,11.399569,53.718235,2,60,0,0
653,11.402746,53.726688,2,50,0,0
654,11.171650,53.658133,2,50,0,0
655,11.472098,53.483534,2,50,0,0
656,11.385005,53.644537,2,50,0,0
657,10.916890,52.906773,2,70,0,0
658,8.772027,53.062017,2,60,0,0
659,12.370262,52.521550,2,50,0,0
660,9.226598,53.353822,2,50,0,0
661,9.061899,53.060475,2,70,0,0
662,9.061436,53.060423,2,70,0,0
663,10.488250,53.137130,2,70,0,0
664,12.330996,52.620905,2,50,0,0
665,12.359163,52.603298,2,50,0,0
666,13.385778,52.469449,2,50,0,0
667,13.613217,54.514778,2,50,0,0
668,12.354038,54.260304,2,60,0,0
669,9.278837,53.258267,2,50,0,0
670,9.323177,53.542796,2,70,0,0
671,9.250442,53.532347,2,70,0,0
672,12.161841,53.792518,2,50,0,0
673,13.289541,54.354567,2,50,0,0
674,9.980819,53.423154,2,50,0,0
675,10.024530,53.529970,2,50,0,0
676,9.120937,53.706970,2,50,0,0
677,9.470992,53.547224,2,70,0,0
678,9.470942,53.547224,2,70,0,0
679,13.421095,52.461393,2,0,0,0
680,13.419003,52.460926,2,0,0,0
681,13.438125,52.462661,2,0,0,0
682,13.435763,52.462269,2,0,0,0
683,10.143199,52.676207,2,70,0,0
684,10.143199,52.676207,2,70,0,0
685,13.734952,53.807895,2,80,0,0
686,13.835253,53.714958,2,50,0,0
687,13.845976,53.709427,2,70,0,0
688,13.707893,54.037553,2,70,0,0
689,13.714766,54.039112,2,70,0,0
690,9.762989,53.546140,2,50,0,0
691,9.779056,53.538808,2,50,0,0
692,9.803647,53.376241,2,50,0,0
693,9.803647,53.376241,2,50,0,0
694,9.757122,53.447415,2,50,0,0
695,11.774113,53.505817,2,70,0,0
696,11.822852,53.427021,2,50,0,0
697,9.970285,53.598808,2,50,0,0
698,9.985272,53.649351,2,50,0,0
699,9.367737,53.089728,2,70,0,0
700,9.456277,53.093199,2,70,0,0
701,9.270941,53.118598,2,70,0,0
702,10.878721,53.000973,2,70,0,0
703,10.874763,53.001201,2,70,0,0
704,11.173401,52.940646,2,70,0,0
705,11.180243,52.914751,2,50,0,0
706,10.071864,53.570857,2,50,0,0
707,9.835727,53.574174,2,50,0,0
708,10.310081,53.336639,2,50,0,0
709,10.411779,53.274444,2,100,0,0
710,9.438539,53.289739,2,70,0,0
711,9.375173,53.298125,2,50,0,0
712,9.025713,53.352461,2,30,0,0
713,8.996673,53.440074,2,50,0,0
714,8.894027,53.423732,2,50,0,0
715,8.841342,53.040670,2,80,0,0
716,8.879406,53.060768,2,50,0,0
717,8.846709,53.081152,2,50,0,0
718,12.520090,53.776070,2,80,0,0
719,11.599903,53.379157,2,50,0,0
720,11.383572,53.326786,2,60,0,0
721,9.779056,53.538808,2,50,0,0
722,13.454881,52.400049,2,50,0,0
723,9.850108,53.651653,2,50,0,0
724,13.515121,52.400119,2,50,0,0
725,13.515050,52.400026,2,50,0,0
726,10.442519,53.263416,2,80,0,0
727,12.692788,53.324937,2,50,0,0
728,12.692788,53.324937,2,50,0,0
729,12.501949,53.358858,2,70,0,0
730,12.501949,53.358858,2,70,0,0
731,13.092612,53.344824,2,50,0,0
732,13.092612,53.344824,2,50,0,0
733,13.125068,53.520804,2,70,0,0
734,11.538550,53.354148,2,70,0,0
735,11.297358,53.187226,2,50,0,0
736,11.148167,53.103599,2,50,0,0
737,11.011050,53.083534,2,70,0,0
738,11.026850,53.106870,2,70,0,0
739,10.139148,53.227854,2,50,0,0
740,10.688603,53.375466,2,70,0,0
741,13.341168,53.657716,2,70,0,0
742,10.562528,53.074110,2,70,0,0
743,9.274741,53.012964,2,70,0,0
744,10.015144,53.600200,2,50,0,0
745,10.001764,53.661951,2,50,0,0
746,11.774113,53.505817,2,70,0,0
747,11.249301,53.664535,2,70,0,0
748,10.168113,54.315293,2,50,0,0
749,9.789891,53.320235,2,30,0,0
750,9.789891,53.320235,2,30,0,0
751,9.679420,53.269236,2,50,0,0
752,9.679420,53.269236,2,50,0,0
753,9.533924,53.201712,2,70,0,0
754,11.559968,53.697907,2,50,0,0
755,10.406460,53.058220,2,50,0,0
756,13.083142,52.411393,2,50,0,0
757,13.488144,52.512410,2,50,0,0
758,13.808225,52.489112,2,70,0,0
759,13.716904,52.473419,2,50,0,0
760,13.915538,52.480609,2,50,0,0
761,10.932179,52.575618,2,70,0,0
762,9.063225,53.515558,2,70,0,0
763,9.047220,53.483473,2,70,0,0
764,12.424306,53.463477,2,70,0,0
765,12.480663,53.460676,2,50,0,0
766,12.349617,53.512775,2,50,0,0
767,9.803827,53.465523,2,50,0,0
768,10.270598,53.417946,2,50,0,0
769,10.396764,52.967363,2,100,0,0
770,10.176692,53.112074,2,80,0,0
771,10.176692,53.112074,2,80,0,0
772,12.615135,54.282467,2,70,0,0
773,8.588054,52.609043,2,70,0,0
774,8.617912,52.455636,2,70,0,0
775,8.713088,52.837632,2,70,0,0
776,9.692415,53.437606,2,50,0,0
777,10.109664,54.313811,2,50,0,0
778,9.899478,53.382298,2,50,0,0
779,12.503537,53.170035,2,50,0,0
780,11.163179,53.904421,2,60,0,0
781,12.137142,54.092411,2,50,0,0
782,11.067753,53.880408,2,50,0,0
783,14.016892,52.777949,2,50,0,0
784,12.925845,52.493226,2,50,0,0
785,9.565092,52.448797,2,70,0,0
786,10.791667,53.911686,2,70,0,0
787,10.065053,53.550314,2,50,0,0
788,10.708687,53.878958,2,50,0,0
789,10.575102,52.485648,2,70,0,0
790,12.625286,52.670572,2,80,0,0
791,12.718183,52.632392,2,60,0,0
792,9.467803,52.423998,2,50,0,0
793,12.792692,52.619644,2,50,0,0
794,10.776664,52.931485,2,70,0,0
795,10.765499,52.933450,2,70,0,0
796,8.701395,52.749976,2,50,0,0
797,12.783753,52.806802,2,50,0,0
798,12.461805,52.869549,2,50,0,0
799,12.622939,53.761730,2,50,0,0
800,11.652164,53.038875,2,50,0,0
801,10.702068,53.885790,2,50,0,0
802,10.679456,53.882570,2,50,0,0
803,11.971941,53.031027,2,70,0,0
804,11.838815,53.095422,2,70,0,0
805,11.812691,53.117148,2,70,0,0
806,10.255144,53.870098,2,50,0,0
807,9.830131,53.703141,2,50,0,0
808,9.300014,53.275024,2,50,0,0
809,10.192207,53.495703,2,50,0,0
810,10.474223,52.434958,2,100,0,0
811,10.163108,53.515827,2,70,0,0
812,11.168995,52.968940,2,50,0,0
813,11.168995,52.968940,2,50,0,0
814,12.197649,53.192904,2,50,0,0
815,9.533924,53.201712,2,70,0,0
816,12.779586,52.915207,2,50,0,0
817,10.489836,52.995133,2,70,0,0
